,관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
847,11740-00033,화랑공원,어린이공원,, 강동구 천호2,37.540033,127.123192,220.0,체력단련기구,조합놀이대,,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
848,11740-00034,꿈나래공원,어린이공원,서울특별시 강동구 아리수로64길29(고덕동), 강동구 고덕1,37.5608275,127.153742,1500.0,체력단련기구,조합놀이대+그네+흔들놀이+모래놀이터,음수대,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
849,11740-00035,곰돌이공원,어린이공원,, 강동구 고덕1,37.556235,127.154997,1983.0,체력단련기구,조합놀이대+그네+시소+흔들놀이+모래놀이터,,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
850,11740-00036,한우물공원,어린이공원,서울특별시 강동구 아리수로72길60-16(고덕동), 강동구 고덕2,37.561635,127.162736,1500.0,체력단련기구,조합놀이대+그네+흔들놀이+모래놀이터,음수대,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
851,11740-00037,무지개공원,어린이공원,, 강동구 고덕2,37.559162,127.164191,1967.5,체력단련기구,조합놀이대+그네+흔들놀이,,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
852,11740-00038,말우물공원,어린이공원,서울특별시 강동구 상일로21길14-7(고덕동), 강동구 고덕2,37.560012,127.169476,1619.1,체력단련기구,조합놀이대+그네,음수대,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
853,11740-00039,미리내공원,어린이공원,, 강동구 상일동,37.554712,127.167908,4286.2,운동장+농구장,,,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
854,11740-00040,동자공원,어린이공원,, 강동구 상일동,37.552388,127.167009,1520.8,체력단련기구,,,,,1980-03-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
1016,11305-00026,오동근린공원,근린공원,, 강북구 번동 ,37.6292331,127.0330524,1025284.1,실내배드민턴장+구민운동장+다목적체육관+골프연습장,조합놀이대+그네+흔들놀이,화장실+약수터+주차장,도서관,유아숲체험장,1982-09-20,서울특별시 강북구청,02-901-6929,2022-08-21,3080000,강북구
1143,11305-00009,북한산도시자연공원,기타,, 강북구 미아동,37.6210716,127.0083592,84448.4,배드민턴장+게이트볼장+족구장,그네+회전놀이+조합놀이대,화장실,,유아숲체험원,2020-06-29,서울특별시 강북구청,02-901-6927,2022-08-21,3080000,강북구
1168,11740-00015,샘물공원,어린이공원,서울특별시 강동구 양재대로1630(명일동), 강동구 명일1,37.5510159,127.1447414,992.1,체력단련기구,모래놀이터+흔들놀이,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
1169,11740-00016,염주골공원,어린이공원,서울특별시 강동구 양재대로138길29(명일동), 강동구 명일1,37.549932,127.1456059,991.3,체력단련기구,조합놀이대+그네+흔들놀이,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
1170,11740-00017,성내천공원,어린이공원,, 강동구 성내1,37.526764,127.123929,1413.6,체력단련기구,조합놀이대+그네+흔들놀이+모래놀이터,음수대,,,1974-12-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
3050,11410-00002,궁동근린공원,근린공원,, 서대문구 연희,37.5687539,126.9195783,126026.0,체육관(실내 배드민턴장) 1개동+배드민턴장 2개소+체력단련시설 23기,조합놀이대 1기+기타 4기,화장실 1개소,,,1940-03-12,서울특별시 서대문구청,02-330-1965,2022-08-11,3120000,서대문구
3051,11410-00003,명수어린이공원,어린이공원,, 서대문구 북아,37.560086,126.9507473,2269.0,체력단련시설 8기,조합놀이대 1기+그네 1기 미끄럼틀 1기+시소 1기+기타 1기,,,,1940-03-12,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3054,11410-00006,불천어린이공원,어린이공원,, 서대문구 홍제,37.59743951,126.948142,2006.0,체력단련시설 4기,조합놀이대 1기+그네 1기+시소 1기,,,,1965-02-03,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3055,11410-00007,은가어린이공원,어린이공원,, 서대문구 북가,37.58280507,126.919472,1312.0,체력단련시설 4기,시소 1기+기타 4기,,,,1965-07-08,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3056,11410-00008,백련근린공원,근린공원,, 서대문구 홍은,37.5906206,126.9333684,993724.0,운동장 1개소+배드민턴장 3개소+골프연습장 1개소+체력단련시설 81기,조합놀이대 2기,주차장 2개소(80대)+화장실 1개소+발효식화장실 4기,문화회관 1개소,,1966-02-05,서울특별시 서대문구청,02-330-1965,2022-08-11,3120000,서대문구
3058,11410-00010,궁뜰어린이공원,어린이공원,, 서대문구 연희,37.56901942,126.9304024,983.8,체력단련시설 3기,조합놀이대 1기+그네 1기+모래밭 1기+사닥다리 1기,,,,1967-01-21,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3125,11410-00045,하늘소공원,소공원,, 서대문구 홍은,37.59385753,126.942133,1375.0,체력단련시설 4기,,,,,2007-06-07,서울특별시 서대문구청,02-330-1749,2022-08-11,3120000,서대문구
3127,11410-00047,가재울어린이공원,어린이공원,, 서대문구 남가,37.57309232,126.9191177,9508.0,배드민턴장 1개소+체력단련시설 3기,조합놀이대 1기+기타 3기,음수대 2개소,,,2007-04-12,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3128,11410-00048,북아현어린이공원,어린이공원,, 서대문구 북아,37.55849107,126.9517607,2357.2,체력단련시설 2기,미끄럼틀 1기+기타 3기,음수대 1개소,,,2008-02-05,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3130,11410-00050,너른바위어린이공원,어린이공원,, 서대문구 북아,37.55832008,126.9522503,2592.2,체력단련시설 4기,그네 1기+미끄럼틀 1기+시소 1기+조합놀이대 1기+기타 2기,음수대 1개소,,,2008-02-05,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3131,11410-00051,복주산근린공원,근린공원,, 서대문구 북아,37.56181347,126.9551252,11430.0,체력단련시설 6기,,,,,2008-02-05,서울특별시 서대문구청,02-330-1965,2022-08-11,3120000,서대문구
3134,11410-00054,남가좌동어린이공원,어린이공원,, 서대문구 남가,37.57760952,126.9178882,4144.0,배드민턴장 1개소,조합놀이대 3기 등,파고라 1조,,,,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3135,11410-00055,연희푸르지오어린이공원,어린이공원,, 서대문구 연희,37.57668706,126.9300362,2053.0,체력단련시설 4기,조합놀이대 1기 등,파고라 1조,,,,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3136,11410-00030,홍제근린공원,근린공원,, 서대문구 홍제,37.59485485,126.9530472,9888.0,배드민턴장 1개소+체력단련시설 11기,조합놀이대 1기+시소 1기+기타 3기,,,,1998-12-01,서울특별시 서대문구청,02-330-1965,2022-08-11,3120000,서대문구
3138,11410-00032,독립문어린이공원,어린이공원,, 서대문구 영천,37.571549,126.9604898,2600.0,체력단련시설 4기,,화장실 1개소,,,2001-11-06,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3139,11410-00033,연서어린이공원,어린이공원,, 서대문구 연희,37.57210598,126.9233003,1582.0,체력단련시설 3기,조합놀이대 1기+그네 2기+모래밭 1기+시소 1기+기타 3기,,,,2002-06-22,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3140,11410-00034,북가좌정원지구어린이공원,어린이공원,, 서대문구 북가,37.579749,126.9167807,1869.0,체력단련시설 6기,그네1기+기타 2기,,,,2004-07-05,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3141,11410-00035,홍은동어린이공원,어린이공원,, 서대문구 홍은,37.601593,126.950296,1552.0,체력단련시설 2기,조합놀이대 1기+그네 1기+기타 2기,,,,2005-05-19,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3144,11410-00037,중앙근린공원,근린공원,, 서대문구 북가,37.57514307,126.9133826,15466.0,다목적운동장 1개소+배드민턴장 1개소+체력단련시설 8기,,화장실 1개소+음수대 1개소,,,2007-03-22,서울특별시 서대문구청,02-330-1965,2022-08-11,3120000,서대문구
3145,11410-00038,솟대어린이공원,어린이공원,, 서대문구 남가,37.572759,126.9128368,1474.5,체력단련시설 4기,조합놀이대 1기+시페이스네트 1기+흔들놀이 6기,,,,2007-03-22,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3146,11410-00039,나비울어린이공원,어린이공원,, 서대문구 북가,37.57480967,126.909632,6757.0,농구장 1개소,조합놀이대 1기+그네 1기+흔들놀이 2기,음수대 1개소,,,2007-03-22,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3148,11410-00041,거꾸로어린이공원,어린이공원,, 서대문구 북가,37.58503469,126.913284,1125.3,체력단련시설 5기,기타 6기,음수대 1개소,,,2010-05-13,서울특별시 서대문구청,02-330-1714,2022-08-11,3120000,서대문구
3149,11410-00042,문화소공원,소공원,, 서대문구 홍제,37.59467058,126.948792,1456.0,배드민턴장 1개소,,,,,2010-05-13,서울특별시 서대문구청,02-330-1749,2022-08-11,3120000,서대문구
3151,11410-00044,무궁화소공원,소공원,, 서대문구 홍제,37.58489844,126.9401841,672.0,체력단련시설 4기,,,,,2008-07-31,서울특별시 서대문구청,02-330-1749,2022-08-11,3120000,서대문구
4372,11140-00031,손기정공원,체육공원,서울특별시 중구 손기정로 101, 중구 만리동2,37.5554795,126.9648157,29682.0,"축구장, 게이트볼장, 테니스장",조합놀이대,"화장실,주차장",,,1987-09-18,서울특별시 중구청,02-3396-5852,2021-10-22,3010000,중구
4563,11740-00008,보람공원,어린이공원,서울특별시 강동구 양재대로85길59(성내동), 강동구 성내3,37.52471702,127.131302,989.9,체력단련기구,조합놀이대+그네+흔들놀이,,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
4564,11740-00009,안말공원,어린이공원,서울특별시 강동구 풍성로45길11(성내동), 강동구 성내3,37.531236,127.129903,2290.3,체력단련기구,조합놀이대+그네+흔들놀이,,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
4565,11740-00010,샛별공원,어린이공원,, 강동구 성내1,37.526993,127.127036,2391.6,체력단련기구,조합놀이대+그네+흔들놀이,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
4566,11740-00011,달님공원,어린이공원,서울특별시 강동구 양재대로112길52(길동), 강동구 길동 ,37.53621038,127.142551,998.6,체력단련기구,조합놀이대+흔들놀이+모래놀이터,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
4567,11740-00012,무궁화공원,어린이공원,서울특별시 강동구 양재대로124길62(길동), 강동구 길동 ,37.5423345,127.1454038,996.3,체력단련기구,조합놀이대+모래놀이터,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
4568,11740-00013,희망공원,어린이공원,, 강동구 길동 ,37.53897711,127.142255,992.4,체력단련기구,조합놀이대+그네+모래놀이터,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
4569,11740-00014,성심공원,어린이공원,서울특별시 강동구 천중로40길66(길동), 강동구 길동 ,37.53831458,127.137376,992.3,체력단련기구,조합놀이대+그네,,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
4877,11740-00007,선린공원,어린이공원,서울특별시 강동구 양재대로91길59(성내동), 강동구 성내3,37.52851478,127.132711,1575.2,체력단련기구,조합놀이대+그네+모래놀이터,,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5019,11740-00062,천일공원,어린이공원,서울특별시 강동구 구천면로42길60(천호동), 강동구 천호1,37.54498878,127.1362629,2408.0,체력단련기구,조합놀이대+그네+흔들놀이+모래놀이터,음수대,,,2001-03-21,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5020,11740-00063,당말공원,어린이공원,서울특별시 강동구 진황도로29길34(천호동), 강동구 천호3,37.53912769,127.133246,2409.0,체력단련기구,조합놀이대+시소+흔들놀이,음수대,,,2002-10-04,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5025,11740-00068,나루공원,어린이공원,, 강동구 천호2,37.547038,127.123604,1500.0,체력단련기구,조합놀이대+흔들놀이+모래놀이터,,,,2004-09-15,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5026,11740-00069,강일공원,근린공원,, 강동구 강일동,37.569526,127.1744407,34591.6,체력단련기구,,,,,2004-12-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5027,11740-00070,벌말공원,근린공원,, 강동구 강일동,37.559936,127.177202,86205.7,체력단련기구,,먹는물공동시설,,관리사무소,2004-12-27,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5028,11740-00071,암사공원,어린이공원,서울특별시 강동구 고덕로28길36(암사동), 강동구 암사1,37.552756,127.137981,1780.0,체력단련기구,조합놀이대+그네+흔들놀이,,,,2005-01-05,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5029,11740-00072,강덕공원,근린공원,, 강동구 강일동,37.558585,127.174682,46699.6,배드민턴장+체력단련기구,,,,,2005-12-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5030,11740-00073,능골공원,근린공원,, 강동구 강일동,37.556768,127.174727,31464.2,농구장+체력단련기구,,,,,2005-12-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5032,11740-00001,고명공원,어린이공원,, 강동구 명일1,37.552473,127.143352,545.0,체력단련기구,조합놀이대+그네,,,,1970-07-03,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5033,11740-00002,일자산공원,근린공원,서울특별시 강동구 동남로 660(둔촌동), 강동구 둔촌동,37.5330568,127.1513563,632733.0,농구장+배드민턴장+체력단련기구,숲속놀이터,주차장+화장실+음수대+먹는물공동시설+시계탑,,관리사무소+캠핑장,1971-08-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5034,11740-00003,명일공원,근린공원,서울특별시 강동구 구천면로587(상일동), 강동구 상일동,37.5512577,127.1634092,649709.6,테니스장+배드민턴장+골프연습장+체력단련기구,조합놀이대,간이화장실+음수대+먹는물공동시설,문화회관,,1971-08-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5035,11740-00004,명우공원,어린이공원,, 강동구 명일1,37.551537,127.141455,403.0,체력단련기구,조합놀이대+그네,,,,1971-12-04,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5036,11740-00005,혜림공원,어린이공원,서울특별시 강동구 천중로39길77(천호동), 강동구 천호1,37.54460149,127.139905,992.0,체력단련기구,조합놀이대+그네+모래놀이터,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5037,11740-00006,성안공원,어린이공원,서울특별시 강동구 양재대로97길41(성내동), 강동구 성내3,37.531369,127.134773,1057.1,체력단련기구,조합놀이대+그네+흔들놀이+모래놀이터,음수대,,,1972-11-06,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5046,11740-00047,원터공원,근린공원,서울특별시 강동구 양재대로147길 18(명일동), 강동구 명일2,37.5524155,127.1430368,24508.5,배드민턴장+체력단련기구,,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5047,11740-00048,송림공원,근린공원,서울특별시 강동구 고덕로 지하253(고덕동), 강동구 고덕동,37.55504732,127.1539494,11491.0,배드민턴장+체력단련기구,,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5048,11740-00049,까치공원,근린공원,서울특별시 강동구 고덕로 55길70(고덕동), 강동구 고덕1,37.557079,127.149995,19464.8,농구장+체력단련기구,,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5049,11740-00050,두레공원,근린공원,, 강동구 고덕1,37.558206,127.152203,13460.2,농구장+체력단련기구,,간이화장실+먹는물공동시설,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5050,11740-00051,동자공원,근린공원,, 강동구 고덕1,37.559711,127.152467,6416.6,체력단련기구,조합놀이대,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5051,11740-00052,샘터공원,근린공원,, 강동구 고덕2,37.561901,127.159087,63320.9,배드민턴장+족구장+체력단련기구,조합놀이대+시소+흔들놀이+모험놀이,화장실+음수대+먹는물공동시설,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5052,11740-00053,방죽공원,근린공원,서울특별시 강동구 동남로82길94-58(고덕동), 강동구 고덕2,37.5591586,127.1598268,87748.6,농구장+배드민턴장+체력단련기구,,음수대,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5053,11740-00054,동명공원,근린공원,, 강동구 고덕2,37.561146,127.164455,99599.9,축구장+농구장+배드민턴장+게이트볼장+체력단련기구,,주차장+화장실+음수대+시계탑,,관리사무소,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5054,11740-00055,상일공원,근린공원,서울특별시 강동구 상암로79가길3(상일동), 강동구 상일동,37.5469247,127.167312,9704.0,체력단련기구,,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5055,11740-00056,방아다리공원,어린이공원,서울특별시 강동구 동남로65길46-8(명일동), 강동구 명일2,37.548156,127.153648,2010.4,체력단련기구,조합놀이대+그네+시소+흔들놀이,,,,1982-04-29,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5056,11740-00057,둔촌공원,어린이공원,, 강동구 둔촌2,37.531437,127.143288,2226.0,체력단련기구,조합놀이대+그네+시소+흔들놀이+모래놀이터,음수대,,,1990-02-21,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5058,11740-00059,솔말소공원,근린공원,, 강동구 암사3,37.556493,127.139147,1108.6,체력단련기구,,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5060,11740-00061,암사공원,근린공원,, 강동구 암사3,37.5565294,127.1417157,7047.0,체력단련기구,그네,,,,2000-12-15,서울특별시 강동구청,02-3425-6440,2022-07-21,3240000,강동구
5153,11140-00003,응봉공원,근린공원,서울특별시 중구 신당동 산36, 중구 신당동 ,37.548628,,107695.0,배드민턴장,,화장실,,,1977-07-09,서울특별시 중구청,02-3396-5854,2021-10-22,3010000,중구
5159,11140-00009,청구공원,어린이공원,서울특별시 중구 청구동 842-1, 중구 청구동 ,37.555579,,1656.0,게이트볼장,조합놀이대,화장실,,,1985-11-22,서울특별시 중구청,02-3396-5854,2021-10-22,3010000,중구
5695,11230-00019,배봉산,근린공원,, 동대문구 전농,37.58121369,127.0675923,265582.0,배드민턴장+지압보도,조합놀이대+그네+시소+흔들놀이대+숲속놀이터+모래놀이터,정자+벤치+화장실,야외공연장+도서관,황톳길+무장애길+야생화단지+유아숲체험장,1997-12-24,서울특별시 동대문구청,02-2127-4772,2022-07-06,3050000,동대문구
5764,11230-00011,장안,근린공원,, 동대문구 장안,37.577102,127.0709026361,14744.8,배드민턴장+족구장+게이트볼장+농구장 반코트,조합놀이대+그네,정자+벤치+화장실,독서실,바닥분수+계류,1988-10-06,서울특별시 동대문구청,02-2127-4775,2022-07-06,3050000,동대문구
5765,11230-00012,장평,근린공원,, 동대문구 장안,37.5674881309,127.0737397772,15698.4,테니스장,,정자+벤치+화장실,,벽천,1990-09-06,서울특별시 동대문구청,02-2127-4775,2022-07-06,3050000,동대문구
5770,11230-00017,홍릉,근린공원,, 동대문구 청량,37.589583793,127.0435376259,102920.0,배드민턴장,조합놀이대+모래놀이터,파고라+전망데크+벤치+화장실,정보화도서관,,1994-04-26,서울특별시 동대문구청,02-2127-4772,2022-07-06,3050000,동대문구
5771,11230-00018,답십리,근린공원,, 동대문구 답십,37.573320107,127.063823,160720.0,배드민턴장+지압보도,,파고라+벤치+화장실,,,1996-06-19,서울특별시 동대문구청,02-2127-4772,2022-07-06,3050000,동대문구
6055,11110-00031,인왕산공원,근린공원,, 종로구 옥인동,37.58302366,126.9634885,201704.0,배드민턴장+체력단련시설,미끄럼틀+조합놀이대,화장실+음수대,도서관,,2020-06-29,서울특별시 종로구청,02-2148-2835,2022-07-07,3000000,종로구
6060,11110-00039,부암튼튼공원,소공원,, 종로구 부암동,37.59228294,126.9645674,1258.0,족구장,미끄럼틀+암벽오르기,,,,2011-06-09,서울특별시 종로구청,02-2148-2832,2022-07-07,3000000,종로구
6089,11110-00011,내수어울공원,근린공원,, 종로구 내수동,37.57368596,126.9703773,2392.1,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,02-2148-2845,2022-07-07,3000000,종로구
6090,11110-00012,내수공원,근린공원,, 종로구 내수동,37.5723883,126.9715781,2192.2,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,02-2148-2845,2022-07-07,3000000,종로구
6091,11110-00013,사직공원,근린공원,서울특별시 종로구 사직로9길 7 (사직동), 종로구 사직동,37.57628582,126.9682319,168099.8,궁도장+배드민턴장+체력단련시설,,,,,2006-07-06,서울특별시 종로구청,02-2148-2835,2022-07-07,3000000,종로구
6092,11110-00014,월암공원,근린공원,, 종로구 송월동,37.57077796,126.9657457,10662.0,체력단련시설,,,,,2006-08-31,서울특별시 종로구청,02-2148-2843,2022-07-07,3000000,종로구
6097,11110-00019,경희궁공원,역사공원,서울특별시 종로구 새문안로 55 (신문로2가), 종로구 신문로,37.57049685,126.9710752,100930.0,체력단련시설,,음수대,,,2009-05-28,서울특별시 종로구청,02-2148-2843,2022-07-07,3000000,종로구
